"date","close","volume","open","high","low"
"16:00","2.30","1,541,185","N/A","2.33","2.29"
"2015/09/22","2.3000","1541185.0000","2.3300","2.3300","2.2900"
"2015/09/21","2.3400","1684709.0000","2.3050","2.3700","2.3000"
"2015/09/18","2.3100","1513563.0000","2.3550","2.3600","2.3000"
"2015/09/17","2.3400","2857057.0000","2.2750","2.3600","2.2700"
"2015/09/16","2.2700","2376401.0000","2.2550","2.3300","2.2500"
"2015/09/15","2.2400","1254803.0000","2.2050","2.2700","2.2000"
"2015/09/14","2.2000","950477.0000","2.2150","2.2200","2.1800"
"2015/09/11","2.2300","1124336.0000","2.2650","2.2700","2.2000"
"2015/09/10","2.2400","1551219.0000","2.2850","2.3000","2.2300"
"2015/09/09","2.2800","1422496.0000","2.2950","2.3100","2.2700"
"2015/09/08","2.2850","1690483.0000","2.3100","2.3400","2.2600"
"2015/09/04","2.3100","2693798.0000","2.3600","2.3600","2.2800"
"2015/09/03","2.3600","2361597.0000","2.3550","2.4400","2.3500"
"2015/09/02","2.3501","1794722.0000","2.3350","2.3700","2.3300"
"2015/09/01","2.3500","2400706.0000","2.3150","2.3600","2.2800"
"2015/08/31","2.3700","10489890.0000","2.3150","2.4700","2.3000"
"2015/08/28","2.2800","3991598.0000","2.1750","2.2800","2.1400"
"2015/08/27","2.1900","2414861.0000","2.1550","2.1900","2.1400"
"2015/08/26","2.1200","4014777.0000","2.1750","2.1900","2.0900"
"2015/08/25","2.1600","3203950.0000","2.1650","2.2300","2.1500"
"2015/08/24","2.1200","11587650.0000","2.0850","2.1500","2.0000"
"2015/08/21","2.2100","4311165.0000","2.2800","2.2900","2.1500"
"2015/08/20","2.2800","2845005.0000","2.3050","2.3800","2.2700"
"2015/08/19","2.3300","2174342.0000","2.2650","2.3350","2.2300"
"2015/08/18","2.2700","2674573.0000","2.2900","2.2900","2.2400"
"2015/08/17","2.2900","1423996.0000","2.3050","2.3200","2.2800"
"2015/08/14","2.3050","1093830.0000","2.3250","2.3400","2.2900"
"2015/08/13","2.3300","1156216.0000","2.3400","2.3900","2.3200"
"2015/08/12","2.3400","2052084.0000","2.4000","2.4000","2.3150"
"2015/08/11","2.4000","2008563.0000","2.3850","2.4100","2.3400"
"2015/08/10","2.3900","1479642.0000","2.4150","2.4200","2.3500"
"2015/08/07","2.4300","1907103.0000","2.4850","2.4900","2.4200"
"2015/08/06","2.4600","4076107.0000","2.3450","2.4600","2.3200"
"2015/08/05","2.3600","1728941.0000","2.4150","2.4500","2.3200"
"2015/08/04","2.3900","5486917.0000","2.2800","2.4200","2.2700"
"2015/08/03","2.2600","4309897.0000","2.3450","2.3600","2.2400"
"2015/07/31","2.3500","11976560.0000","2.4500","2.4600","2.3200"
"2015/07/30","2.4550","973355.0000","2.4500","2.4800","2.4500"
"2015/07/29","2.4800","1114729.0000","2.4950","2.5000","2.4500"
"2015/07/28","2.4900","2800646.0000","2.4050","2.5100","2.4000"
"2015/07/27","2.4100","3246070.0000","2.4750","2.5050","2.3500"
"2015/07/24","2.5400","4155598.0000","2.5750","2.6000","2.5000"
"2015/07/23","2.5800","6026851.0000","2.6500","2.7200","2.5500"
"2015/07/22","2.6200","8842281.0000","2.5050","2.6400","2.4700"
"2015/07/21","2.5000","7773298.0000","2.4450","2.5300","2.4400"
"2015/07/20","2.4800","2426081.0000","2.4350","2.4800","2.4100"
"2015/07/17","2.4400","2358239.0000","2.4350","2.4700","2.4200"
"2015/07/16","2.4300","4055240.0000","2.4800","2.4800","2.3800"
"2015/07/15","2.4700","13348900.0000","2.3350","2.5300","2.3300"
"2015/07/14","2.2800","2675796.0000","2.2050","2.2900","2.2000"
"2015/07/13","2.2000","1464299.0000","2.1950","2.2400","2.1700"
"2015/07/10","2.1800","3349834.0000","2.1900","2.2500","2.1700"
"2015/07/09","2.1700","3378247.0000","2.1350","2.2000","2.1300"
"2015/07/08","2.1300","2835694.0000","2.1500","2.1600","2.1000"
"2015/07/07","2.1900","6922825.0000","2.1950","2.2300","2.0700"
"2015/07/06","2.2200","3928909.0000","2.2850","2.3000","2.2000"
"2015/07/02","2.3000","1838801.0000","2.3200","2.3350","2.2800"
"2015/07/01","2.3100","5585942.0000","2.3400","2.4200","2.3100"
"2015/06/30","2.3250","1991451.0000","2.2950","2.3500","2.2900"
"2015/06/29","2.3000","5323239.0000","2.3650","2.3700","2.2700"
"2015/06/26","2.3900","2386485.0000","2.3950","2.4300","2.3700"
"2015/06/25","2.3600","5577403.0000","2.4350","2.4400","2.3500"
"2015/06/24","2.4300","2665621.0000","2.4400","2.4700","2.4200"
"2015/06/23","2.4600","1482823.0000","2.4250","2.4800","2.4200"
"2015/06/22","2.4300","2581920.0000","2.4600","2.4600","2.4200"
